Bin	Difference	Tag
Bin 65	136.041857845	['seq24']
Bin 48	32.3196896984	['seq101']
Bin 38	16.5335224965	['seq97']
Bin 39	8.64536742733	['seq228']
Bin 59	3.04721556652	['seq440']
Bin 16	2.55802320377	['seq6']
Bin 1	2.24668565878	['seq335']
Bin 52	2.00642898951	['seq953']
Bin 7	1.83164736889	['seq3']
Bin 84	1.51249685485	['seq990']
Bin 11	1.4058605927	['seq54']
Bin 12	1.2871196315	['seq220']
Bin 58	1.19528396431	['seq8']
Bin 6	1.15116385524	['seq56']
Bin 57	0.959540892071	['seq0']
Bin 68	0.913280934158	['seq6204']
Bin 54	0.911165857809	['seq176207']
Bin 81	0.904478716113	['seq433']
Bin 36	0.876268644654	['seq17009']
Bin 41	0.867072990856	['seq172']
Bin 46	0.86492170617	['seq280']
Bin 4	0.845526424458	['seq12']
Bin 76	0.771424696308	['seq42']
Bin 74	0.749314611545	['seq106']
Bin 67	0.696811047044	['seq340']
Bin 29	0.575626296705	['seq17016']
Bin 51	0.570040557333	['seq2']
Bin 13	0.504771618325	['seq1618', 'seq2112', 'seq2622', 'seq3327']
Bin 73	0.501792931547	['seq1085', 'seq17124', 'seq2330']
Bin 60	0.494057947129	['seq214']
Bin 72	0.49072134423	['seq135']
Bin 63	0.479178575374	['seq4734']
Bin 43	0.401709792842	['seq354', 'seq9994']
Bin 23	0.366436090821	['seq33']
Bin 70	0.354824579804	['seq1722']
Bin 78	0.349989317113	['seq79']
Bin 86	0.33132870501	['seq1446']
Bin 25	0.330350779251	['seq1538', 'seq1787', 'seq25678', 'seq3162', 'seq7637']
Bin 75	0.322687332486	['seq88']
Bin 9	0.291774740522	['seq186']
Bin 49	0.284427198538	['seq68']
Bin 21	0.283996512624	['seq596']
Bin 50	0.244745182524	['seq188']
Bin 85	0.210523431517	['seq29']
Bin 26	0.199984074259	['seq1097']
Bin 64	0.195890808922	['seq301']
Bin 19	0.186941324341	['seq39']
Bin 47	0.178474071682	['seq20374']
Bin 32	0.177670417824	['seq359']
Bin 34	0.173883494539	['seq311']
Bin 79	0.17248520319	['seq64']
Bin 69	0.171210473769	['seq5']
Bin 87	0.162312321097	['seq215']
Bin 8	0.154171952306	['seq789']
Bin 35	0.150146201259	['seq1249']
Bin 83	0.147886498451	['seq50099']
Bin 30	0.142819581264	['seq318']
Bin 37	0.132005509479	['seq1107', 'seq313']
Bin 56	0.122658944512	['seq17251']
Bin 71	0.118494271656	['seq229']
Bin 77	0.11657693242	['seq223']
Bin 33	0.112012094927	['seq82']
Bin 15	0.108709727314	['seq343']
Bin 24	0.104847074738	['seq59']
Bin 40	0.0994932942882	['seq583']
Bin 53	0.0923357440878	['seq148']
Bin 2	0.0862090009954	['seq221']
Bin 22	0.0800997762981	['seq189']
Bin 20	0.0653978134268	['seq1039', 'seq10540', 'seq1158', 'seq1177', 'seq12141', 'seq1380', 'seq1437', 'seq1666', 'seq16976', 'seq17001', 'seq17563', 'seq1792', 'seq19829', 'seq2099', 'seq2201', 'seq2219', 'seq244', 'seq250', 'seq260', 'seq27058', 'seq29357', 'seq2970', 'seq307', 'seq3074', 'seq3076', 'seq31854', 'seq3305', 'seq331203', 'seq3360', 'seq337699', 'seq3394', 'seq3538', 'seq357', 'seq3821', 'seq388', 'seq39127', 'seq423', 'seq4235', 'seq439', 'seq51', 'seq5110', 'seq515', 'seq51562', 'seq55684', 'seq5818', 'seq594', 'seq61622', 'seq6392', 'seq6602', 'seq67', 'seq69', 'seq6992', 'seq878', 'seq882', 'seq9099', 'seq914']
Bin 66	0.0440285256353	['seq1120']
Bin 3	0.0434051600567	['seq216', 'seq2924', 'seq45271']
Bin 61	0.0411675053216	['seq133']
Bin 27	0.0332410949525	['seq1049']
Bin 62	0.0265283906501	['seq40']
Bin 45	0.0245685598991	['seq22']
Bin 28	0.0205530019536	['seq17122']
Bin 17	0.0181411154298	['seq34']
Bin 18	0.0176317920185	['seq10871', 'seq120556', 'seq51132', 'seq62', 'seq87355']
Bin 80	0.0120749451175	['seq2134']
Bin 10	0.011217274706	['seq14124']
Bin 44	0.0100897778725	['seq1088']
Bin 14	0.00832866164616	['seq86424']
Bin 42	0.00606686032842	['seq333']
Bin 5	0.00589501092263	['seq491']
Bin 82	0.00531082319294	['seq47']
Bin 31	0.00411388923768	['seq3114']
Bin 55	0.000598603949901	['seq117']
