bin.100.fa	94256.assembled.fna	bin_100	94256
bin.117.fa	79699.assembled.fna	bin_117	79699
bin.161.fa	79700.assembled.fna	bin_161	79700
bin.18.fa	79705.assembled.fna	bin_18	79705
bin.186.fa	79712.assembled.fna	bin_186	79712
bin.2.fa	79701.assembled.fna	bin_2	79701
bin.220.fa	79702.assembled.fna	bin_220	79702
bin.227.fa	94261.assembled.fna	bin_227	94261
bin.269.fa	94253.assembled.fna	bin_269	94253
bin.274.fa	79719.assembled.fna	bin_274	79719
bin.29.fa	79717.assembled.fna	bin_29	79717
bin.291.fa	94254.assembled.fna	bin_291	94254
bin.311.fa	79698.assembled.fna	bin_311	79698
bin.312.fa	94264.assembled.fna	bin_312	94264
bin.314.fa	79718.assembled.fna	bin_314	79718
bin.323.fa	94258.assembled.fna	bin_323	94258
bin.328.fa	94259.assembled.fna	bin_328	94259
bin.34.fa	79706.assembled.fna	bin_34	79706
bin.54.fa	79704.assembled.fna	bin_54	79704
bin.76.fa	79703.assembled.fna	bin_76	79703
bin.80.fa	94260.assembled.fna	bin_80	94260
