Params	Previous model parameters	new_model
oxygen_bubble_rate	0.0	0.0
nitrogen_source	0.0	170.39588
nitrogen_ratio	0.1	0.0932218103
carbon_source_from_5e4	94000.0	52432.4324
oxygen_source	6600.0	16553.5135
methane_source	2830.0	2830.0
t_max	0.4	0.4
sminus_precipitation	0.0	0.0965393666
fe_precipitation	0.3	0.0639060123
carbon_precip	0.3	0.00868327122
diffusion_constant	50.0	130.895343
ma_op_o_fe_rate_const	10.0	10.0
ma_op_o_n_rate_const	5.0	5.0
ma_op_o_s_rate_const	0.16	0.16
ma_op_fe_n_rate_const	1.0	0.65088727
ma_op_s_n_rate_const	0.0	0.16807259
ma_op_ch4_o_rate_const	10000.0	10000.0
ma_op_ch4_n_rate_const	0.0	34.1371397
ma_op_ch4_s_rate_const	0.01	0.01
primary_ox_rate_const	1.0	2.00946863
c_lim_o	20.0	20.0
c_lim_n	5.0	5.0
c_lim_fe	0.1	0.1
c_lim_s	30.0	30.0
C	1.0	1.55067447
N-	1.0	3.95156918
S-	1.0	0.163120493
CH4	1.0	3.00092414
